instruction_id,instruction_number,rq_year,rq_semester,dept,area,year,subject,professor,url,credit,time,class_time,required,number_of_people,note,foreigner,mooc,team_teaching,online
1066,A01681201,20,1,영미문학·문화학과,이중(부)전공,3.0,Advanced English Reading,김지은,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01681201,2,2,수 5 6,0,30,1전공 수강금지,0,0,0,0
1067,A01675201,20,1,영미문학·문화학과,이중(부)전공,3.0,English Speaking,Anselm Sanghoon Lee,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01675201,2,2,목 5 6,0,20,1전공 수강금지,1,0,0,0
1068,A01679201,20,1,영미문학·문화학과,이중(부)전공,3.0,English Writing,Steven George Mclean,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01679201,2,2,금 5 6,0,30,1전공 수강금지,1,0,0,0
1069,A01207703,20,1,영미문학·문화학과,이중(부)전공,3.0,영국문학개관(1),최지연,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01207703,3,3,금 7 8 9,0,41,"1전공 수강금지, 영어대, 영어교육과 교류 (부전공자는 전공교류가 되지 않음)",0,0,0,0
1070,A01696103,20,1,영미문학·문화학과,이중(부)전공,4.0,19세기영국소설,강병희,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01696103,3,3,수 7 8 9,0,40,1전공 수강금지,0,0,0,0
1071,A01312403,20,1,영미문학·문화학과,이중(부)전공,4.0,American Drama,주하영,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01312403,3,3,목 7 8 9,0,40,"기존 '미국희곡'에서 과목명 변경, 동일교과목, 1전공 수강금지 (부전공자는 전공교류가 되지 않음)",0,0,0,0
1072,A01482302,20,1,영미문학·문화학과,이중(부)전공,4.0,영.미문학과영상,이영심,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01482302,3,3,월 4 5 6,0,30,1전공 수강금지,0,0,0,0
1073,N01107301,20,1,영어교육과,전공,1.0,실용영문법,Andrew William Prosser,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=N01107301,3,3,금 1 2 3,0,40,1학년 우선,1,0,0,0
1074,A01123301,20,1,영어교육과,전공,1.0,영어학개론(1),김지인,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01123301,3,3,월 1 2 3,1,50,1학년 우선/1전공만,0,0,0,0
1075,E01126401,20,1,영어교육과,전공,1.0,전공영어1,Andrew William Prosser,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01126401,3,3,수 1 2 3,1,20,1학년 우선/1전공만,1,0,0,0
1076,E01126402,20,1,영어교육과,전공,1.0,전공영어1,Michael Lance Rabbidge,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01126402,3,3,수 1 2 3,1,20,1학년 우선/1전공만,1,0,0,0
